Unnamed: 0,index,Start,Min,GT,ID,alpha,noise_level,iterations,alpha_hat
85.0,85,26.927983196454182,26.59188948386213,30.37947706933301,Noise in D_reported,0.04,0.05,3000,0.04
86.0,86,26.97169043656263,26.816099331861444,27.61071772726973,Noise in D_reported,0.04,0.05,3000,0.04
87.0,87,24.66151927579207,24.92188402169825,25.100046863706666,Noise in D_reported,0.04,0.05,3000,0.04
88.0,88,20.741391824829442,20.642383556047626,22.822942814351336,Noise in D_reported,0.04,0.05,3000,0.04
89.0,89,21.150415564199136,21.338444819771432,21.739871168851096,Noise in D_reported,0.04,0.05,3000,0.04
90.0,0,10.408893985595745,10.454598996024682,10.408893985595745,No noise,0.04,0.0,3000,0.04
91.0,1,7.189678228340441,7.216422154794975,7.189678228340441,No noise,0.04,0.0,3000,0.04
92.0,2,4.043638189364712,4.052584144837917,4.043638189364712,No noise,0.04,0.0,3000,0.04
93.0,3,4.4232100272353065,4.433252157684555,4.4232100272353065,No noise,0.04,0.0,3000,0.04
94.0,4,5.0968365985070045,5.1087167126517965,5.0968365985070045,No noise,0.04,0.0,3000,0.04
95.0,5,5.889324025031423,5.903825161739593,5.889324025031423,No noise,0.04,0.0,3000,0.04
96.0,6,6.806059364588362,6.8227306822258695,6.806059364588361,No noise,0.04,0.0,3000,0.04
97.0,7,7.865328829596013,7.884164296491398,7.865328829596013,No noise,0.04,0.0,3000,0.04
98.0,8,9.08885598586876,9.110160911902502,9.08885598586876,No noise,0.04,0.0,3000,0.04
99.0,9,10.501625577871033,10.522012487728798,10.501625577871033,No noise,0.04,0.0,3000,0.04
100.0,10,12.132290142432986,12.159619315159107,12.132290142432986,No noise,0.04,0.0,3000,0.04
101.0,11,14.013656800267512,14.043383044622688,14.013656800267512,No noise,0.04,0.0,3000,0.04
102.0,12,16.183227275396508,16.216906148950876,16.183227275396508,No noise,0.04,0.0,3000,0.04
103.0,13,18.683780983660213,18.72145934972208,18.683780983660213,No noise,0.04,0.0,3000,0.04
104.0,14,21.564008732506643,21.605534559706445,21.564008732506643,No noise,0.04,0.0,3000,0.04
105.0,15,24.87917614198857,24.92520435790185,24.87917614198857,No noise,0.04,0.0,3000,0.04
106.0,16,28.691810196721026,28.74360780411848,28.691810196721026,No noise,0.04,0.0,3000,0.04
107.0,17,33.07239081868748,33.13006309490044,33.07239081868748,No noise,0.04,0.0,3000,0.04
108.0,18,38.10000730725358,38.16406977156944,38.10000730725358,No noise,0.04,0.0,3000,0.04
109.0,19,43.86294409324741,43.93272625997576,43.86294409324741,No noise,0.04,0.0,3000,0.04
110.0,20,50.459132420677655,50.53523112954724,50.459132420677655,No noise,0.04,0.0,3000,0.04
111.0,21,57.99638581159977,58.07991426251881,57.99638581159977,No noise,0.04,0.0,3000,0.04
112.0,22,66.59231688764146,66.68353442000054,66.59231688764146,No noise,0.04,0.0,3000,0.04
113.0,23,76.37380167248979,76.47135392355905,76.37380167248979,No noise,0.04,0.0,3000,0.04
114.0,24,87.47582459267237,87.58051287767158,87.47582459267237,No noise,0.04,0.0,3000,0.04
115.0,25,100.03950409628,100.15165579267722,100.03950409627998,No noise,0.04,0.0,3000,0.04
116.0,26,114.20906594024211,114.32721655920143,114.20906594024211,No noise,0.04,0.0,3000,0.04
117.0,27,130.12751040830727,130.25227264524892,130.12751040830727,No noise,0.04,0.0,3000,0.04
118.0,28,147.9307004928286,148.05936361160275,147.9307004928286,No noise,0.04,0.0,3000,0.04
119.0,29,167.7396211507014,167.87239017165746,167.7396211507014,No noise,0.04,0.0,3000,0.04
120.0,30,189.6506095062693,189.7845074427729,189.6506095062693,No noise,0.04,0.0,3000,0.04
121.0,31,213.7234882594533,213.85613244340684,213.72348825945332,No noise,0.04,0.0,3000,0.04
122.0,32,239.9676598071092,240.09705039452683,239.9676598071092,No noise,0.04,0.0,3000,0.04
123.0,33,268.3266382262858,268.4485471882984,268.3266382262858,No noise,0.04,0.0,3000,0.04
124.0,34,298.6617424717798,298.77336307484484,298.6617424717798,No noise,0.04,0.0,3000,0.04
125.0,35,330.7361256327348,330.832885023477,330.7361256327348,No noise,0.04,0.0,3000,0.04
126.0,36,364.20104197544737,364.2800196784749,364.20104197544737,No noise,0.04,0.0,3000,0.04
127.0,37,398.58632747343523,398.6413783463311,398.58632747343523,No noise,0.04,0.0,3000,0.04
128.0,38,433.2978056629363,433.32720806394246,433.2978056629363,No noise,0.04,0.0,3000,0.04
129.0,39,467.6240313420176,467.6242137056153,467.6240313420176,No noise,0.04,0.0,3000,0.04
