b1	r1
0.419	0.236
0.419	0.236
0.419	0.236
0.419	0.236
0.419	0.236
0.419	0.236
0.419	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.421	0.236
0.414	0.246
0.414	0.246
0.414	0.246
0.414	0.246
0.414	0.246
0.418	0.237
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.414	0.237
0.414	0.237
0.424	0.228
0.418	0.231
0.417	0.231
0.42	0.238
0.419	0.24
0.419	0.24
0.419	0.24
0.419	0.24
0.419	0.24
0.419	0.24
0.419	0.233
0.415	0.243
0.42	0.237
0.42	0.237
0.416	0.238
0.416	0.238
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.421	0.233
0.42	0.234
0.42	0.234
0.42	0.233
0.42	0.233
0.42	0.233
0.42	0.233
0.42	0.233
0.42	0.233
0.417	0.238
0.417	0.239
0.417	0.239
0.417	0.239
0.417	0.239
0.415	0.236
0.415	0.238
0.415	0.238
0.415	0.238
0.415	0.238
0.415	0.238
0.415	0.238
0.42	0.234
0.421	0.233
0.419	0.232
0.419	0.232
0.421	0.24
0.421	0.24
0.421	0.24
0.421	0.24
0.421	0.24
0.421	0.236
0.418	0.233
0.416	0.235
0.416	0.243
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.417	0.243
0.412	0.24
0.412	0.24
0.422	0.237
0.422	0.237
0.42	0.232
0.42	0.235
0.42	0.235
0.424	0.231
0.424	0.231
0.419	0.23
0.417	0.241
0.417	0.241
0.417	0.241
0.418	0.24
0.418	0.24
0.417	0.239
0.42	0.233
0.416	0.234
0.412	0.25
0.42	0.234
0.42	0.234
0.42	0.234
0.42	0.234
0.413	0.241
0.413	0.241
0.413	0.241
0.413	0.241
0.413	0.241
0.413	0.241
0.414	0.244
0.422	0.238
0.42	0.234
0.42	0.237
0.42	0.237
0.421	0.23
0.421	0.23
0.421	0.23
0.421	0.23
0.421	0.23
0.421	0.23
0.421	0.23
0.42	0.229
0.42	0.229
0.42	0.229
0.42	0.229
0.413	0.245
0.413	0.245
0.413	0.245
0.418	0.237
0.418	0.235
0.418	0.235
0.418	0.235
0.417	0.237
0.422	0.236
0.419	0.231
0.419	0.241
0.418	0.231
0.415	0.24
0.42	0.234
0.42	0.234
0.418	0.239
0.418	0.239
0.415	0.243
0.415	0.243
0.415	0.243
0.415	0.243
0.415	0.243
0.421	0.239
0.416	0.242
0.42	0.238
0.418	0.244
